epoch,train_loss,train_acc,test_loss,test_acc
1,4.961836996532622,1.2121212121212122,4.941688605717251,2.727272727272727
2,4.20396225793021,5.454545454545454,4.252523558480399,10.454545454545455
3,3.592388539087205,17.575757575757574,3.4479609557560513,17.727272727272727
4,3.06363692737761,25.0,4.575248650142124,6.818181818181818
5,2.641582511720203,34.39393939393939,2.676797083445958,30.454545454545453
6,2.2006412006559826,45.303030303030305,2.568244389125279,30.90909090909091
7,1.8371021463757469,54.24242424242424,1.879641362598964,52.27272727272727
8,1.4803718328475952,65.15151515151516,1.8761605535234724,52.72727272727273
9,1.2883544933228266,69.24242424242425,1.6588787521634782,55.45454545454545
10,1.0374128023783367,77.42424242424242,1.2314751659120833,66.81818181818181
11,0.8953446263358706,81.81818181818181,1.3690609335899353,65.0
12,0.6868709751537868,85.75757575757575,1.0715763398579188,69.0909090909091
13,0.6080990859440395,87.27272727272727,0.9924979295049395,73.63636363636364
14,0.5116725620769319,90.45454545454545,0.8641086433615003,76.81818181818181
15,0.4531917912619455,91.81818181818181,0.7956931718758175,82.72727272727273
16,0.36114585115796044,94.24242424242425,0.6587178323950086,82.27272727272727
17,0.3106386661529541,95.75757575757575,0.6696206458977291,85.0
18,0.24412064680031367,95.60606060606061,0.4681330514805658,90.0
19,0.21700180428368704,96.81818181818181,0.7634393061910357,80.9090909090909
20,0.1607775567542939,98.03030303030303,0.6185381306069238,85.0
21,0.14020864488113494,98.78787878787878,0.4077474113021578,90.45454545454545
22,0.14716112258888425,98.33333333333333,0.4363017976284027,87.27272727272727
23,0.11869673271264349,98.78787878787878,0.5509887827294213,84.0909090909091
24,0.15526148038251059,97.57575757575758,0.67188732113157,80.0
25,0.09795544314242545,98.78787878787878,0.4471623046057565,88.63636363636364
26,0.09133430588103476,98.63636363636364,0.37574781477451324,90.45454545454545
27,0.058355637781676795,99.6969696969697,0.34349095608506885,91.36363636363636
28,0.05224876300919624,99.54545454545455,0.2891386108739035,93.63636363636364
29,0.0607129271541323,99.39393939393939,0.32726516893931795,93.18181818181819
30,0.04450510158425286,99.39393939393939,0.3573087922164372,92.72727272727273
31,0.046160402574709485,99.6969696969697,0.3889336341193744,90.9090909090909
32,0.050972082430408114,99.54545454545455,0.5070108813898904,86.81818181818181
33,0.042575963639787266,99.84848484848484,0.26494555175304413,92.27272727272727
34,0.025593699798697515,100.0,0.21947405061551503,95.0
35,0.022408815943414255,99.84848484848484,0.2008532557104315,95.0
36,0.019293900224424544,100.0,0.2723383211663791,91.81818181818181
37,0.022435823499801614,99.84848484848484,0.26757871891771046,92.27272727272727
38,0.03612927280898605,99.24242424242425,0.25639618933200836,91.36363636363636
39,0.030516992633541424,99.84848484848484,0.21678777464798518,95.45454545454545
40,0.014223361831335794,100.0,0.17693068140319415,95.9090909090909
41,0.013910519934835889,100.0,0.1687034129032067,95.45454545454545
42,0.013627881272917702,100.0,0.18213634831564768,95.0
43,0.012534372663746277,100.0,0.2025149767952306,95.9090909090909
44,0.017477488378062844,99.84848484848484,0.2003519327512809,95.45454545454545
45,0.012221648313459895,100.0,0.1845320159835475,95.0
46,0.010119439102709293,100.0,0.17523603460618428,96.36363636363636
47,0.00984297324681566,100.0,0.16762622499040195,95.45454545454545
48,0.00690268228451411,100.0,0.16706511484725134,95.0
49,0.006172710164849248,100.0,0.15792738060866082,95.45454545454545
50,0.006760565541862022,100.0,0.15042843137468612,96.36363636363636
51,0.005741941531942714,100.0,0.149607852101326,95.0
52,0.006516994631272696,100.0,0.1431201435625553,95.9090909090909
53,0.00698930322236958,100.0,0.14880530695830071,95.9090909090909
54,0.005689118500976335,100.0,0.14249634742736816,96.36363636363636
55,0.004835553045961119,100.0,0.1369957844061511,96.81818181818181
56,0.00513714943302884,100.0,0.1392647506935256,95.9090909090909
57,0.005609309799703104,100.0,0.13538484860743796,96.36363636363636
58,0.004575079218262718,100.0,0.13507418174828803,96.36363636363636
59,0.004953324717159073,100.0,0.13214407808014325,96.36363636363636
60,0.004092033619859389,100.0,0.12710874101945333,96.36363636363636
61,0.0036652282856049993,100.0,0.12740864338619368,96.36363636363636
62,0.004374581339236881,100.0,0.13246255634086473,96.36363636363636
63,0.004736216605773994,100.0,0.1321347084428583,96.36363636363636
64,0.004318888792546377,100.0,0.1355282494000026,96.81818181818181
65,0.0037078815179743935,100.0,0.12729050538369588,96.81818181818181
66,0.003286055738239416,100.0,0.128770897431033,96.81818181818181
67,0.0031734309769013806,100.0,0.12934982776641846,96.36363636363636
68,0.003541184672420578,100.0,0.12691377449248517,96.36363636363636
69,0.003606731243919404,100.0,0.13116015759961946,95.9090909090909
70,0.0033389347649755933,100.0,0.12911628106875078,96.36363636363636
71,0.003804582786480231,100.0,0.1287656825567995,96.36363636363636
72,0.0037395869758689686,100.0,0.1268635397510869,96.36363636363636
73,0.003569140503670843,100.0,0.12518017792275973,96.81818181818181
74,0.0029158929052452245,100.0,0.12719461215393885,96.81818181818181
75,0.003613229375332594,100.0,0.12845866967524802,96.36363636363636
76,0.0034625902162155227,100.0,0.1272499734269721,96.36363636363636
77,0.002584193883064602,100.0,0.1287724676408938,96.36363636363636
78,0.0033044315031951384,100.0,0.1279646921902895,96.36363636363636
79,0.0032633925632884106,100.0,0.12770936531679972,96.36363636363636
80,0.003262231991227184,100.0,0.12516177711742266,96.36363636363636
81,0.0031383957026437635,100.0,0.1257978334490742,96.36363636363636
82,0.003249556394404776,100.0,0.12896407129509108,96.36363636363636
83,0.0036350138086293426,100.0,0.13124547366585051,96.36363636363636
84,0.003316198691858777,100.0,0.1317163264112813,95.9090909090909
85,0.002846826982152249,100.0,0.12836929437305247,96.36363636363636
86,0.0034441796985144415,100.0,0.1242050328957183,96.36363636363636
87,0.0023585872425298604,100.0,0.1270774690700429,96.81818181818181
88,0.0029498294960441335,100.0,0.12334637264055866,96.81818181818181
89,0.0026204962992951984,100.0,0.1250213993979352,96.81818181818181
90,0.0028503414720208163,100.0,0.12740845126765116,96.36363636363636
91,0.0028379186045467144,100.0,0.12410280321325574,96.36363636363636
92,0.0026804617373272777,100.0,0.12398691129471574,96.36363636363636
93,0.0029362047068952095,100.0,0.119711787839021,96.81818181818181
94,0.0025930072546803524,100.0,0.12244075616555554,96.36363636363636
95,0.002676979167431238,100.0,0.11915754846164159,96.36363636363636
96,0.002580201153510383,100.0,0.12454346567392349,96.81818181818181
97,0.003257490600281883,100.0,0.12608355336955615,96.81818181818181
98,0.002805775491565111,100.0,0.12260593926267964,96.36363636363636
99,0.003255234914831817,100.0,0.12828955879168852,96.36363636363636
100,0.0033104936093358056,100.0,0.12355551389711243,96.36363636363636
